Condition,Receptor,Assay Mode,Concentration,Replicate,Method,Baseline,Amplitude,Tau Rise (s),Tau Decay (s),Peak Time (s),Peak Fluorescence (RFU),Transient R²
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-10.0,3,rise-decay fit,34.153872897374384,26.958623180746105,23.322033179466132,22.87782730297857,0.0,34.153872897374384,0.03504643485174452
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-10.0,4,rise-decay fit,33.34562721673552,3.0316844759522508,99.99999999999994,499.9999999572731,201.17973904787866,34.96755489749829,0.7144054319047991
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-11.0,1,rise-decay fit,32.0423746293823,5.2636431434171165,99.99999999999999,499.99999999999994,201.1797390542625,34.85838288619495,0.778023565964429
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-11.0,2,rise-decay fit,31.43000370322205,4.892045058736939,97.71075931691334,499.99999999999756,198.26808631976962,34.0775611360958,0.9015165411791876
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-11.0,3,rise-decay fit,32.62720131743151,4.466557480881842,99.99999999999999,499.9999999999956,201.1797390542619,35.01677492699922,0.8418484996201445
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-11.0,4,rise-decay fit,35.02265630743545,3.068706532671614,51.148322319254675,4.3365671675239605,0.0,35.02265630743545,0.7229395254194164
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,Vehicle Control,1,rise-decay fit,33.304487627951296,3.9532495708394255,56.746976359879746,6.716515363148549,0.0,33.304487627951296,0.7048453222842854
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,Vehicle Control,2,rise-decay fit,33.02013492798678,4.8407245575967,36.016667847007234,8.738037664085558,0.0,33.02013492798678,0.6469197823435144
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,Vehicle Control,3,rise-decay fit,29.57363767395001,6.259671031418393,99.99999999999996,499.9999999999775,201.17973905425913,32.922513125632186,0.8537044450997369
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,Vehicle Control,4,rise-decay fit,30.86392935427012,5.587916406046934,99.99999999999999,499.99999999999994,201.1797390542625,33.853421291520185,0.8273600905883619
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-5.0,1,rise-decay fit,68.85308925151288,7.25238310791487,25.26381022833862,1.1613838965014285,0.0,68.85308925151288,0.5540632951117492
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-5.0,2,rise-decay fit,66.78032723703053,6.924085517879378,83.7724944337665,499.9999999999989,179.78129978591699,70.80348573172688,0.7633390992063103
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-5.0,3,rise-decay fit,74.11149235072095,3.0622595143242433,57.96760359854735,0.18335546023913962,0.0,74.11149235072095,0.6086972711182288
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-5.0,4,rise-decay fit,68.58583710737493,2.057294173199671,22.080730495331508,499.9999999999997,72.07256240895114,70.2883072371626,0.5699750944954474
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-6.0,1,rise-decay fit,61.20597055508548,11.596299436991275,80.28558691380319,499.9999999999946,174.932975552401,68.06651288044858,0.8956996102876114
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-6.0,2,rise-decay fit,60.81932737913193,10.988929893782169,76.4189332194371,499.99999999999824,169.44054497600095,67.4529040148486,0.8985431031530037
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-6.0,3,rise-decay fit,68.8570899887276,5.941208638994933,32.9748650116094,0.11148453084504784,0.0,68.8570899887276,0.5747701850305105
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-6.0,4,rise-decay fit,65.01335392894097,8.95982048346482,99.99999999999999,499.99999999999994,201.1797390542625,69.80678839505798,0.7923379495839444
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-7.0,1,rise-decay fit,62.290068002366226,9.114611712560611,74.45300632051799,499.9999999999998,166.59885096521552,67.84923565050705,0.8754898141393866
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-7.0,2,rise-decay fit,62.16631992126455,8.51760347799135,68.15892405117839,499.99999999999994,157.2624677498265,67.53756438958294,0.8384569433144962
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-7.0,3,rise-decay fit,63.801991231207275,4.912555223606816,24.917448293587626,1.509866693557683,0.0,63.801991231207275,0.4761307247618668
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-7.0,4,rise-decay fit,68.6648291674309,4.417278483034485,29.092141613089524,0.20760635389716786,0.0,68.6648291674309,0.5322096011518959
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-8.0,1,rise-decay fit,63.13865192508728,8.05216768701882,84.24859468625019,499.999999999969,180.4358880192673,67.80580355791629,0.8517496952311788
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-8.0,2,rise-decay fit,64.84569348511059,7.967088626703125,75.55786535346348,499.9999999988395,168.20007927518697,69.67685326985567,0.8521908658611307
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-8.0,3,rise-decay fit,69.7596284463262,5.657502399465954,36.33332662153567,0.13220120025531207,0.0,69.7596284463262,0.5700476406892767
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-8.0,4,rise-decay fit,67.86565786194643,1.562749550261835,99.99999999999999,499.9999999999977,201.1797390542622,68.70171675062153,0.1415601690595668
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-9.0,1,rise-decay fit,60.51350582617755,4.921926778526443,72.99924029998671,499.99999999998545,164.47529273714468,63.53855450637227,0.729929071685824
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-9.0,2,rise-decay fit,65.62406199698115,7.188825123159795,90.37053312999164,499.99999999994145,188.70218798482352,69.6621377972012,0.8023313532069563
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-9.0,3,rise-decay fit,64.38103691991674,10.081625066159015,99.99999999999999,499.9999999999994,201.17973905426246,69.77462813703764,0.878611299640708
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-9.0,4,rise-decay fit,65.94085940489352,0.9053600260847456,66.06301927464617,0.11184440925312977,0.0,65.94085940489352,0.16679092884016988
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-10.0,1,rise-decay fit,62.39534591634766,3.068374184977513,99.99999999999999,499.9999999999989,201.17973905426237,64.03690230694257,0.7096704797265108
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-10.0,2,rise-decay fit,59.67527193555982,4.885216896096777,77.1930300068616,499.99999999972573,170.55023406403188,62.61236652419914,0.7376615458571951
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-10.0,3,rise-decay fit,60.09031610406696,9.753481273937497,89.23892373043483,499.9999999992937,187.19472729799384,65.6007228747306,0.8466056058384703
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-10.0,4,rise-decay fit,62.52636169847448,4.244680746181983,99.99999999999999,499.99999999994645,201.17973905425453,64.79723297585778,0.6887681469474375
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-11.0,1,rise-decay fit,59.95063403492965,9.029087493911268,99.99999999999999,499.99999999999994,201.1797390542625,64.78112581439926,0.9111993449244837
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-11.0,2,rise-decay fit,55.29237921619716,8.31698047989861,74.8559031501828,499.99999999994014,167.1840080119584,60.35432683576888,0.8873628134376002
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-11.0,3,rise-decay fit,68.41764219243795,6.699361018183538,52.23339523178348,0.2111685038895985,0.0,68.41764219243795,0.669679629363835
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,-11.0,4,rise-decay fit,64.29101371595107,3.6134701798236235,56.3469371785812,0.1121499572207646,0.0,64.29101371595107,0.4968841130334696
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,Carbachol-only Control (500 nM),1,rise-decay fit,63.84296117925959,5.490270994643461,34.703303389066974,0.162489861797397,0.0,63.84296117925959,0.6346838314219989
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,Carbachol-only Control (500 nM),2,rise-decay fit,60.832213233376415,3.580093958415781,42.66025497620944,0.11013928463657532,0.0,60.832213233376415,0.5136542972529407
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,Carbachol-only Control (500 nM),3,rise-decay fit,65.63903664201598,5.278726971835933,47.992145014148925,0.18007130437712826,0.0,65.63903664201598,0.5995374683715089
