Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-5.0,1e-05,3,76.10761897603955,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.39384966074860395,rise-decay fit,0.8334630809066003,,-63.433994577218165,-8.478013836108733
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-5.0,1e-05,4,71.77251012492337,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3144556384058623,rise-decay fit,0.836926954930948,,-30.488219805281492,13.38948209579116
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-6.0,1e-06,1,71.85499527934964,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.31596628748489924,rise-decay fit,0.9427883564105454,,-31.11508695281724,12.973404013139533
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-6.0,1e-06,2,73.51092156688176,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.34629324193643707,rise-decay fit,0.9270508045685888,,-43.69972470508867,4.620450811788778
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-6.0,1e-06,3,74.32408263443936,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.36118563107432305,rise-decay fit,0.9252551053948883,,-49.87955139575242,0.5186400043815098
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-6.0,1e-06,4,71.86559969206107,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.31616049875124985,rise-decay fit,0.9321967835628272,,-31.19567791483877,12.919912403172763
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-7.0,1e-07,1,74.37590966918476,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3621348014171796,rise-decay fit,0.9302484262087378,,-50.27342427702497,0.2572100125681209
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-7.0,1e-07,2,74.82298242572142,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3703225783889535,rise-decay fit,0.9418202738144928,,-53.67106868443889,-1.997949435691515
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-7.0,1e-07,3,70.21909553299486,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.2860061029836183,rise-decay fit,0.9212621978704696,,-18.68264605136303,21.225337765437036
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-7.0,1e-07,4,68.26906858663155,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.2502929321577797,rise-decay fit,0.6047190160947493,,-3.8629146950093007,31.06181656705136
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-8.0,1e-08,1,76.14586865403625,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.39455017275274684,rise-decay fit,0.9334724967115647,,-63.72468284357025,-8.670955860568874
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-8.0,1e-08,2,73.4862257895045,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3458409586909179,rise-decay fit,0.9447987224147056,,-43.51204279276952,4.7450231881417615
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-8.0,1e-08,3,70.41997697920978,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.28968508466015064,rise-decay fit,0.9188260063242097,,-20.209296271726874,20.212035825678843
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-8.0,1e-08,4,69.7980009002134,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.27829409439706293,rise-decay fit,0.847632433820355,,-15.482429077406913,23.349456325210372
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-9.0,1e-09,1,72.90946407507363,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3352780330494608,rise-decay fit,0.5985308219793111,,-39.12879379180774,7.654369845203302
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-9.0,1e-09,2,74.19931464805948,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.35890060602916124,rise-decay fit,0.8151714252585958,,-48.93134499097869,1.148004462875074
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-9.0,1e-09,3,70.3994573690758,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.28930928454961324,rise-decay fit,0.8543870647215794,,-20.053352216548692,20.315542451818878
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-9.0,1e-09,4,65.55572465744811,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.20060022640676572,rise-decay fit,0.3388647158571705,,16.757840409366665,44.748678736149415
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-10.0,1e-10,1,76.94032292580593,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.4090999620128085,rise-decay fit,0.6054311306817534,,-69.76234242796286,-12.678404382081986
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-10.0,1e-10,2,68.79561554881866,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.25993621511009185,rise-decay fit,0.8797769055942507,,-7.864543770274035,28.405767100008273
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-10.0,1e-10,3,66.89899748142648,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.22520118482834658,rise-decay fit,0.8785412573288298,,6.549293072738626,37.972836647151894
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-10.0,1e-10,4,66.97594678728974,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.22661044930561422,rise-decay fit,0.3799265051260049,,5.964497030264337,37.5846829258228
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-11.0,1e-11,1,67.2309491220262,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.23128061140691997,rise-decay fit,0.9310037863013064,,4.026541196841071,36.298380157199404
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-11.0,1e-11,2,71.85096238052542,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3158924281954667,rise-decay fit,0.937682337923869,,-31.084437900877848,12.993747077561013
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-11.0,1e-11,3,68.18935005771762,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.24883295159371763,rise-decay fit,0.9235180287280635,,-3.2570732296739457,31.46393902039496
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-11.0,1e-11,4,73.58633893592992,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.34767445022644305,rise-decay fit,0.8757355488675855,,-44.2728783996984,4.240024606243676
