Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-5.0,1e-05,3,74.11149235072095,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.266051118524592,rise-decay fit,0.6086972711182288,,-34.721897138817745,-8.085310246712618
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-5.0,1e-05,4,70.2883072371626,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.149152475303286,rise-decay fit,0.5699750944954474,,-22.282583467122418,1.8945601827839442
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-6.0,1e-06,1,68.06651288044858,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0812183475793766,rise-decay fit,0.8956996102876114,,-15.053637942314957,7.694232221252218
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-6.0,1e-06,2,67.4529040148486,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0624564928099534,rise-decay fit,0.8985431031530037,,-13.057168264751473,9.295969200024523
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-6.0,1e-06,3,68.8570899887276,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.105391226625148,rise-decay fit,0.5747701850305105,,-17.625900686451736,5.6305453029362855
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-6.0,1e-06,4,69.80678839505798,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.1344294374027921,rise-decay fit,0.7923379495839444,,-20.715888751104327,3.151495306464802
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-7.0,1e-07,1,67.84923565050705,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0745748258485106,rise-decay fit,0.8754898141393866,,-14.346693461030302,8.26140292779386
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-7.0,1e-07,2,67.53756438958294,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.065045089136601,rise-decay fit,0.8384569433144962,,-13.332623657468123,9.074975566374665
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-7.0,1e-07,3,63.801991231207275,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9508252904877176,rise-decay fit,0.4761307247618668,,-1.1783687939489917,18.826147689399654
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-7.0,1e-07,4,68.6648291674309,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.099512612724269,rise-decay fit,0.5322096011518959,,-17.00035089175149,6.132414301747014
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-8.0,1e-08,1,67.80580355791629,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.073246835561533,rise-decay fit,0.8517496952311788,,-14.205380548600633,8.374776108443838
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-8.0,1e-08,2,69.67685326985567,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.130456509231181,rise-decay fit,0.8521908658611307,,-20.29312507857628,3.490672111992943
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-8.0,1e-08,3,69.7596284463262,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.1329874632745762,rise-decay fit,0.5700476406892767,,-20.562446692299694,3.2745995150828433
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-8.0,1e-08,4,68.70171675062153,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.1006404964909757,rise-decay fit,0.1415601690595668,,-17.12037024845796,6.0361246140219205
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-9.0,1e-09,1,63.53855450637227,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9427703847499166,rise-decay fit,0.729929071685824,,-0.32123738243416966,19.513811064866537
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-9.0,1e-09,2,69.6621377972012,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.1300065653397466,rise-decay fit,0.8023313532069563,,-20.2452460523876,3.5290847198155784
