Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
65,-6.0,3,35
70,-6.0,3,35
75,-6.0,3,35
80,-6.0,3,35
85,-6.0,3,36
90,-6.0,3,35
95,-6.0,3,36
100,-6.0,3,35
105,-6.0,3,35
110,-6.0,3,36
115,-6.0,3,35
120,-6.0,3,36
125,-6.0,3,36
130,-6.0,3,36
135,-6.0,3,36
140,-6.0,3,36
145,-6.0,3,36
150,-6.0,3,36
155,-6.0,3,36
160,-6.0,3,36
165,-6.0,3,36
170,-6.0,3,36
175,-6.0,3,36
180,-6.0,3,36
185,-6.0,3,36
190,-6.0,3,36
195,-6.0,3,36
200,-6.0,3,36
205,-6.0,3,36
210,-6.0,3,36
215,-6.0,3,36
220,-6.0,3,36
225,-6.0,3,36
230,-6.0,3,36
235,-6.0,3,35
240,-6.0,3,36
245,-6.0,3,36
250,-6.0,3,36
255,-6.0,3,36
260,-6.0,3,36
265,-6.0,3,36
270,-6.0,3,36
275,-6.0,3,36
280,-6.0,3,36
285,-6.0,3,36
290,-6.0,3,35
295,-6.0,3,35
300,-6.0,3,36
0,-6.0,4,34
5,-6.0,4,34
10,-6.0,4,34
15,-6.0,4,35
20,-6.0,4,35
25,-6.0,4,35
30,-6.0,4,34
35,-6.0,4,35
40,-6.0,4,35
45,-6.0,4,35
50,-6.0,4,36
55,-6.0,4,36
60,-6.0,4,35
65,-6.0,4,35
70,-6.0,4,35
75,-6.0,4,35
80,-6.0,4,36
85,-6.0,4,36
90,-6.0,4,36
95,-6.0,4,36
100,-6.0,4,36
105,-6.0,4,36
110,-6.0,4,36
115,-6.0,4,36
120,-6.0,4,36
125,-6.0,4,36
130,-6.0,4,36
135,-6.0,4,36
140,-6.0,4,36
145,-6.0,4,37
150,-6.0,4,36
155,-6.0,4,37
160,-6.0,4,36
165,-6.0,4,36
170,-6.0,4,37
175,-6.0,4,37
180,-6.0,4,36
185,-6.0,4,36
190,-6.0,4,37
195,-6.0,4,36
200,-6.0,4,37
205,-6.0,4,37
210,-6.0,4,37
215,-6.0,4,37
220,-6.0,4,37
225,-6.0,4,37
230,-6.0,4,36
235,-6.0,4,36
240,-6.0,4,36
245,-6.0,4,37
250,-6.0,4,37
255,-6.0,4,36
260,-6.0,4,36
265,-6.0,4,36
270,-6.0,4,36
275,-6.0,4,36
280,-6.0,4,36
285,-6.0,4,36
290,-6.0,4,36
295,-6.0,4,36
300,-6.0,4,36
0,-7.0,1,34
6,-7.0,1,34
12,-7.0,1,34
