Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
230,-9.0,3,70
235,-9.0,3,70
240,-9.0,3,70
245,-9.0,3,70
250,-9.0,3,70
255,-9.0,3,70
260,-9.0,3,70
265,-9.0,3,70
270,-9.0,3,70
275,-9.0,3,70
280,-9.0,3,70
285,-9.0,3,70
290,-9.0,3,70
295,-9.0,3,70
300,-9.0,3,70
0,-9.0,4,64
5,-9.0,4,65
10,-9.0,4,65
15,-9.0,4,65
20,-9.0,4,65
25,-9.0,4,65
30,-9.0,4,65
35,-9.0,4,66
40,-9.0,4,66
45,-9.0,4,66
50,-9.0,4,66
55,-9.0,4,66
60,-9.0,4,66
65,-9.0,4,66
70,-9.0,4,66
75,-9.0,4,66
80,-9.0,4,65
85,-9.0,4,65
90,-9.0,4,66
95,-9.0,4,66
100,-9.0,4,65
105,-9.0,4,66
110,-9.0,4,65
115,-9.0,4,65
120,-9.0,4,65
125,-9.0,4,65
130,-9.0,4,65
135,-9.0,4,66
140,-9.0,4,66
145,-9.0,4,66
150,-9.0,4,66
155,-9.0,4,66
160,-9.0,4,66
165,-9.0,4,66
170,-9.0,4,66
175,-9.0,4,66
180,-9.0,4,66
185,-9.0,4,65
190,-9.0,4,66
195,-9.0,4,66
200,-9.0,4,66
205,-9.0,4,66
210,-9.0,4,66
215,-9.0,4,66
220,-9.0,4,66
225,-9.0,4,66
230,-9.0,4,66
235,-9.0,4,66
240,-9.0,4,66
245,-9.0,4,66
250,-9.0,4,66
255,-9.0,4,66
260,-9.0,4,66
265,-9.0,4,67
270,-9.0,4,66
275,-9.0,4,66
280,-9.0,4,66
285,-9.0,4,67
290,-9.0,4,66
295,-9.0,4,66
300,-9.0,4,66
0,-10.0,1,63
5,-10.0,1,63
10,-10.0,1,62
15,-10.0,1,62
20,-10.0,1,63
25,-10.0,1,63
30,-10.0,1,63
35,-10.0,1,63
40,-10.0,1,63
45,-10.0,1,63
50,-10.0,1,63
55,-10.0,1,63
60,-10.0,1,64
65,-10.0,1,64
70,-10.0,1,64
75,-10.0,1,63
80,-10.0,1,64
85,-10.0,1,64
90,-10.0,1,63
95,-10.0,1,64
100,-10.0,1,64
105,-10.0,1,64
110,-10.0,1,63
115,-10.0,1,64
120,-10.0,1,64
125,-10.0,1,64
130,-10.0,1,64
135,-10.0,1,64
140,-10.0,1,64
145,-10.0,1,64
150,-10.0,1,64
155,-10.0,1,64
160,-10.0,1,64
165,-10.0,1,64
170,-10.0,1,64
175,-10.0,1,64
180,-10.0,1,64
185,-10.0,1,64
190,-10.0,1,64
195,-10.0,1,64
200,-10.0,1,64
205,-10.0,1,64
