Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G3,G,7,-5.0,-5.0,1e-05,0.397,0.5517241379310345,8.444668002266749,42.22334001133375,Within 20–80% B/B0,False,21.840327782448234,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G4,G,7,-6.0,-6.0,1e-06,0.361,0.48275862068965514,12.411370381836456,62.05685190918228,Within 20–80% B/B0,False,32.09935515474577,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G5,G,7,-7.0,-7.0,1e-07,0.38,0.5191570881226054,10.133563446656815,50.667817233284076,Within 20–80% B/B0,False,26.208294656440383,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G6,G,7,-8.0,-8.0,1e-08,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G7,G,7,-9.0,-9.0,1e-09,0.259,0.2873563218390805,39.920428232148275,199.60214116074138,Within 20–80% B/B0,False,103.245650103922,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G8,G,7,-10.0,-10.0,1e-10,0.255,0.27969348659003834,42.07276888715497,210.36384443577487,Within 20–80% B/B0,False,108.81221890120541,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G9,G,7,-11.0,-11.0,1e-11,0.253,0.27586206896551724,43.20628811620577,216.03144058102885,Within 20–80% B/B0,False,111.74382396886847,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H2,H,8,Vehicle Control,,,0.221,0.21455938697318008,68.64447422557873,343.22237112789367,Within 20–80% B/B0,True,177.53425204377876,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H3,H,8,-5.0,-5.0,1e-05,0.326,0.4157088122605364,18.109513723910563,90.54756861955282,Within 20–80% B/B0,False,46.83638428470902,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H4,H,8,-6.0,-6.0,1e-06,0.364,0.4885057471264368,12.020166061047352,60.100830305236755,Within 20–80% B/B0,False,31.087588843311078,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H5,H,8,-7.0,-7.0,1e-07,0.352,0.46551724137931033,13.665598823246286,68.32799411623144,Within 20–80% B/B0,False,35.343148784892875,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H6,H,8,-8.0,-8.0,1e-08,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H7,H,8,-9.0,-9.0,1e-09,0.249,0.26819923371647514,45.59752638818426,227.9876319409213,Within 20–80% B/B0,False,117.92825036099268,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H8,H,8,-10.0,-10.0,1e-10,0.27,0.3084291187739464,34.694925073040196,173.47462536520098,Within 20–80% B/B0,False,89.73100372676367,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,H9,H,8,-11.0,-11.0,1e-11,0.259,0.2873563218390805,39.920428232148275,199.60214116074138,Within 20–80% B/B0,False,103.245650103922,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A2,A,1,Vehicle Control,,,0.253,0.21279761904761907,52.78288915737664,263.91444578688316,Within 20–80% B/B0,True,138.6363334072028,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A3,A,1,-5.0,-5.0,1e-05,0.303,0.28720238095238093,31.96130039236843,159.80650196184214,Within 20–80% B/B0,False,83.94761196403552,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A4,A,1,-6.0,-6.0,1e-06,0.284,0.2589285714285714,38.23203834208157,191.16019171040787,Within 20–80% B/B0,False,100.41795170829592,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A5,A,1,-7.0,-7.0,1e-07,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A6,A,1,-8.0,-8.0,1e-08,0.268,0.23511904761904764,44.90992914694281,224.54964573471403,Within 20–80% B/B0,False,117.95769443286125,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A7,A,1,-9.0,-9.0,1e-09,0.248,0.20535714285714285,55.854183402891515,279.27091701445755,Within 20–80% B/B0,False,146.70320848376952,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A8,A,1,-10.0,-10.0,1e-10,0.225,0.17113095238095238,74.0619398512322,370.30969925616097,Outside 20–80% B/B0,False,194.5265965905293,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,A9,A,1,-11.0,-11.0,1e-11,0.261,0.22470238095238096,48.3572415414735,241.7862077073675,Within 20–80% B/B0,False,127.01219596008862,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B2,B,2,Vehicle Control,,,0.305,0.2901785714285714,31.38434817815018,156.9217408907509,Within 20–80% B/B0,True,82.43222429186967,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B3,B,2,-5.0,-5.0,1e-05,0.329,0.32589285714285715,25.419980987147635,127.09990493573818,Within 20–80% B/B0,False,66.7665793896097,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B4,B,2,-6.0,-6.0,1e-06,0.312,0.3005952380952381,29.470808093430218,147.3540404671511,Within 20–80% B/B0,False,77.40623603301725,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B5,B,2,-7.0,-7.0,1e-07,0.265,0.23065476190476192,46.34287918267394,231.71439591336969,Within 20–80% B/B0,False,121.72139403477516,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B6,B,2,-8.0,-8.0,1e-08,0.23,0.17857142857142858,69.41313437687045,347.06567188435224,Outside 20–80% B/B0,False,182.31632625524634,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B7,B,2,-9.0,-9.0,1e-09,0.245,0.20089285714285715,57.824382731711495,289.12191365855745,Within 20–80% B/B0,False,151.87801447467578,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B8,B,2,-10.0,-10.0,1e-10,0.236,0.1875,64.39373985640964,321.9686992820482,Outside 20–80% B/B0,False,169.13268922154597,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,B9,B,2,-11.0,-11.0,1e-11,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
